class,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21
B,0.0,0.0,-0.358695652173913,-0.10869565217391304,-0.6413043478260869,-0.3695652173913043,-0.7282608695652174,-0.6847826086956522,-0.75,-0.9347826086956522,-0.5869565217391305,-0.7065217391304348,-0.6304347826086957,-1.0,-0.5760869565217391,-0.782608695652174,-0.5434782608695652,-0.5869565217391305,-0.3695652173913043,-0.75,-0.3804347826086957,-0.9565217391304348,-0.33695652173913043,-0.6847826086956522,-0.32608695652173914,-0.5217391304347826,-0.16304347826086957,-0.7717391304347826,-0.17391304347826086,-0.9347826086956522,-0.14130434782608695,-0.6847826086956522,-0.14130434782608695,-0.5108695652173914,0.043478260869565216,-0.7608695652173914,0.021739130434782608,-0.9239130434782609,0.021739130434782608,-0.75,0.021739130434782608,-0.6086956521739131
B,0.0,0.0,-0.33695652173913043,-0.10869565217391304,-0.5978260869565217,-0.391304347826087,-0.7065217391304348,-0.6847826086956522,-0.7717391304347826,-0.9130434782608695,-0.5434782608695652,-0.6956521739130435,-0.6304347826086957,-1.0,-0.6086956521739131,-0.7934782608695652,-0.5543478260869565,-0.6086956521739131,-0.34782608695652173,-0.7282608695652174,-0.42391304347826086,-0.9565217391304348,-0.391304347826087,-0.6956521739130435,-0.34782608695652173,-0.5434782608695652,-0.14130434782608695,-0.717391304347826,-0.21739130434782608,-0.9130434782608695,-0.20652173913043478,-0.6630434782608695,-0.16304347826086957,-0.532608695652174,0.06521739130434782,-0.6956521739130435,-0.021739130434782608,-0.8804347826086957,-0.03260869565217391,-0.6956521739130435,0.0,-0.5869565217391305
B,0.0,0.0,-0.34065934065934067,-0.08791208791208792,-0.6153846153846154,-0.3626373626373626,-0.7252747252747253,-0.6593406593406593,-0.7912087912087912,-0.9010989010989011,-0.5714285714285714,-0.6923076923076923,-0.6703296703296703,-1.0,-0.6263736263736264,-0.8021978021978022,-0.5714285714285714,-0.6263736263736264,-0.3626373626373626,-0.7362637362637363,-0.4175824175824176,-0.967032967032967,-0.38461538461538464,-0.6923076923076923,-0.3516483516483517,-0.5494505494505495,-0.15384615384615385,-0.7362637362637363,-0.2087912087912088,-0.9230769230769231,-0.18681318681318682,-0.6593406593406593,-0.15384615384615385,-0.5164835164835165,0.054945054945054944,-0.7252747252747253,0.0,-0.8901098901098901,-0.01098901098901099,-0.6923076923076923,0.01098901098901099,-0.5824175824175825
B,0.0,0.0,-0.33695652173913043,-0.13043478260869565,-0.5978260869565217,-0.40217391304347827,-0.7065217391304348,-0.6847826086956522,-0.75,-0.9239130434782609,-0.532608695652174,-0.717391304347826,-0.6304347826086957,-1.0,-0.5978260869565217,-0.7717391304347826,-0.5217391304347826,-0.6086956521739131,-0.31521739130434784,-0.75,-0.391304347826087,-0.9565217391304348,-0.358695652173913,-0.6739130434782609,-0.30434782608695654,-0.5434782608695652,-0.10869565217391304,-0.75,-0.18478260869565216,-0.9021739130434783,-0.16304347826086957,-0.6304347826086957,-0.11956521739130435,-0.5108695652173914,0.10869565217391304,-0.717391304347826,0.010869565217391304,-0.8804347826086957,0.010869565217391304,-0.6847826086956522,0.043478260869565216,-0.5760869565217391
B,0.0,0.0,-0.34065934065934067,-0.0989010989010989,-0.6043956043956044,-0.38461538461538464,-0.7032967032967034,-0.6703296703296703,-0.7582417582417582,-0.9120879120879121,-0.5164835164835165,-0.7142857142857143,-0.6153846153846154,-1.0,-0.6043956043956044,-0.7582417582417582,-0.5494505494505495,-0.6043956043956044,-0.3076923076923077,-0.7362637362637363,-0.38461538461538464,-0.9560439560439561,-0.37362637362637363,-0.6703296703296703,-0.31868131868131866,-0.5494505494505495,-0.0989010989010989,-0.7362637362637363,-0.16483516483516483,-0.9120879120879121,-0.16483516483516483,-0.6263736263736264,-0.12087912087912088,-0.5054945054945055,0.12087912087912088,-0.7032967032967034,0.03296703296703297,-0.8791208791208791,0.01098901098901099,-0.6703296703296703,0.054945054945054944,-0.5494505494505495
B,0.0,0.0,-0.33695652173913043,-0.10869565217391304,-0.5978260869565217,-0.391304347826087,-0.7065217391304348,-0.6847826086956522,-0.7608695652173914,-0.9239130434782609,-0.5434782608695652,-0.7065217391304348,-0.6195652173913043,-1.0,-0.5869565217391305,-0.7934782608695652,-0.532608695652174,-0.6086956521739131,-0.32608695652173914,-0.7282608695652174,-0.391304347826087,-0.9565217391304348,-0.358695652173913,-0.6847826086956522,-0.31521739130434784,-0.5434782608695652,-0.11956521739130435,-0.7391304347826086,-0.18478260869565216,-0.8913043478260869,-0.16304347826086957,-0.6413043478260869,-0.11956521739130435,-0.5,0.09782608695652174,-0.7065217391304348,0.010869565217391304,-0.8695652173913043,0.010869565217391304,-0.6739130434782609,0.03260869565217391,-0.5652173913043478
B,0.0,0.0,-0.36666666666666664,-0.1111111111111111,-0.6333333333333333,-0.3888888888888889,-0.7333333333333333,-0.6777777777777778,-0.7777777777777778,-0.9111111111111111,-0.5555555555555556,-0.7111111111111111,-0.6555555555555556,-1.0,-0.6333333333333333,-0.8111111111111111,-0.5777777777777777,-0.6333333333333333,-0.35555555555555557,-0.7444444444444445,-0.4222222222222222,-0.9666666666666667,-0.3888888888888889,-0.7111111111111111,-0.34444444444444444,-0.5555555555555556,-0.14444444444444443,-0.7444444444444445,-0.2111111111111111,-0.9333333333333333,-0.18888888888888888,-0.6666666666666666,-0.15555555555555556,-0.5111111111111111,0.07777777777777778,-0.7111111111111111,-0.011111111111111112,-0.9,-0.022222222222222223,-0.7,0.011111111111111112,-0.5555555555555556
B,0.0,0.0,-0.3516483516483517,-0.10989010989010989,-0.6153846153846154,-0.38461538461538464,-0.7142857142857143,-0.6703296703296703,-0.7802197802197802,-0.8901098901098901,-0.5384615384615384,-0.7142857142857143,-0.6153846153846154,-1.0,-0.5824175824175825,-0.8021978021978022,-0.5384615384615384,-0.6373626373626373,-0.32967032967032966,-0.7362637362637363,-0.38461538461538464,-0.9560439560439561,-0.3516483516483517,-0.6923076923076923,-0.31868131868131866,-0.5494505494505495,-0.12087912087912088,-0.7362637362637363,-0.17582417582417584,-0.9120879120879121,-0.15384615384615385,-0.6593406593406593,-0.13186813186813187,-0.5164835164835165,0.08791208791208792,-0.7032967032967034,0.01098901098901099,-0.8791208791208791,0.0,-0.6923076923076923,0.02197802197802198,-0.5604395604395604
B,0.0,0.0,-0.34444444444444444,-0.07777777777777778,-0.6222222222222222,-0.36666666666666664,-0.7222222222222222,-0.6666666666666666,-0.7888888888888889,-0.9,-0.5666666666666667,-0.6888888888888889,-0.6333333333333333,-1.0,-0.5888888888888889,-0.8,-0.5444444444444444,-0.6111111111111112,-0.35555555555555557,-0.7333333333333333,-0.3888888888888889,-0.9555555555555556,-0.35555555555555557,-0.6777777777777778,-0.3333333333333333,-0.5111111111111111,-0.14444444444444443,-0.7333333333333333,-0.18888888888888888,-0.9111111111111111,-0.17777777777777778,-0.6444444444444445,-0.15555555555555556,-0.5,0.07777777777777778,-0.7,0.011111111111111112,-0.8666666666666667,0.0,-0.6666666666666666,0.011111111111111112,-0.5444444444444444
B,0.0,0.0,-0.3595505617977528,-0.07865168539325842,-0.6179775280898876,-0.3707865168539326,-0.7191011235955056,-0.6741573033707865,-0.797752808988764,-0.898876404494382,-0.5730337078651685,-0.6966292134831461,-0.6404494382022472,-1.0,-0.5842696629213483,-0.7752808988764045,-0.5280898876404494,-0.5955056179775281,-0.3595505617977528,-0.7415730337078652,-0.39325842696629215,-0.9550561797752809,-0.34831460674157305,-0.6629213483146067,-0.3258426966292135,-0.5168539325842697,-0.14606741573033707,-0.7415730337078652,-0.19101123595505617,-0.9101123595505618,-0.16853932584269662,-0.6292134831460674,-0.14606741573033707,-0.5056179775280899,0.06741573033707865,-0.7191011235955056,0.011235955056179775,-0.8876404494382022,0.011235955056179775,-0.6741573033707865,0.011235955056179775,-0.5617977528089888
